Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2020-10-14T09:43:57.071Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:01.981Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:02.063Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:07.083Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:07.097Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:11.984Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:12.144Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:16.988Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:17.383Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:22.000Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:22.108Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:27.106Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:27.203Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:32.155Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:32.204Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:37.153Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:37.284Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:42.027Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:42.132Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:47.077Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:47.133Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:52.046Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:52.141Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:44:57.085Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:44:57.198Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:02.069Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:02.163Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:07.069Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:07.212Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:12.079Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:12.173Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:17.094Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:17.454Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:22.093Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:22.188Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:27.162Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:27.217Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:32.204Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:32.204Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:37.116Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:37.235Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:42.168Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:42.230Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:47.135Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:47.228Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:52.202Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:52.241Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:45:57.150Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:45:57.242Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:46:02.156Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:46:02.399Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:46:07.175Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:46:07.449Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:46:12.274Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
